Institution Name,City,State,Fall 2013 Enrollment
University of Phoenix-Online Campus,Phoenix,AZ,212044
Liberty University,Lynchburg,VA,77338
University of Central Florida,Orlando,FL,59589
Ashford University,Clinton,IA,58104
Ohio State University-Main Campus,Columbus,OH,57466
Texas A & M University-College Station,College Station,TX,55697
Grand Canyon University,Phoenix,AZ,55497
American Public University System,Charles Town,WV,55422
Kaplan University-Davenport Campus,Davenport,IA,52407
The University of Texas at Austin,Austin,TX,52059
University of Minnesota-Twin Cities,Minneapolis,MN,51526
Walden University,Minneapolis,MN,51016
University of Florida,Gainesville,FL,49878
Michigan State University,East Lansing,MI,49317
Arizona State University-Tempe,Tempe,AZ,48702
Rutgers University-New Brunswick,New Brunswick,NJ,48036
Florida International University,Miami,FL,47663
Indiana University-Bloomington,Bloomington,IN,46817
Western Governors University,Salt Lake City,UT,46733
Pennsylvania State University-Main Campus,University Park,PA,46615
University of Illinois at Urbana-Champaign,Champaign,IL,44942
New York University,New York,NY,44599
University of Washington-Seattle Campus,Seattle,WA,43762
University of Michigan-Ann Arbor,Ann Arbor,MI,43710
University of Wisconsin-Madison,Madison,WI,42677
University of South Florida-Main Campus,Tampa,FL,41428
University of Southern California,Los Angeles,CA,41368
Florida State University,Tallahassee,FL,40909
University of California-Los Angeles,Los Angeles,CA,40795
University of Arizona,Tucson,AZ,40621
Excelsior College,Albany,NY,39897
Purdue University-Main Campus,West Lafayette,IN,39794
University of Maryland-University College,Adelphi,MD,39557
University of Houston,Houston,TX,39540
California State University-Fullerton,Fullerton,CA,38325
University of North Texas,Denton,TX,38315
California State University-Northridge,Northridge,CA,38310
University of Maryland-College Park,College Park,MD,37272
Temple University,Philadelphia,PA,37270
University of California-Berkeley,Berkeley,CA,36198
California State University-Long Beach,Long Beach,CA,35586
Texas State University,San Marcos,TX,35546
The University of Alabama,Tuscaloosa,AL,34752
University of Missouri-Columbia,Columbia,MO,34616
University of Georgia,Athens,GA,34536
University of Cincinnati-Main Campus,Cincinnati,OH,34379
North Carolina State University at Raleigh,Raleigh,NC,34009
Capella University,Minneapolis,MN,34007
George Mason University,Fairfax,VA,33917
The University of Texas at Arlington,Arlington,TX,33329
University of California-Davis,Davis,CA,33307
Texas Tech University,Lubbock,TX,33111
Iowa State University,Ames,IA,32955
Boston University,Boston,MA,32411
Georgia State University,Atlanta,GA,32165
University of Utah,Salt Lake City,UT,32077
University of Colorado Boulder,Boulder,CO,32017
University of South Carolina-Columbia,Columbia,SC,31964
San Diego State University,San Diego,CA,31899
San Jose State University,San Jose,CA,31278
Virginia Polytechnic Institute and State University,Blacksburg,VA,31205
Colorado State University-Fort Collins,Fort Collins,CO,31186
Brigham Young University-Provo,Provo,UT,31123
Virginia Commonwealth University,Richmond,VA,30974
Florida Atlantic University,Boca Raton,FL,30759
Utah Valley University,Orem,UT,30564
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,30488
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,30478
The University of Tennessee-Knoxville,Knoxville,TN,30030
San Francisco State University,San Francisco,CA,29905
University at Buffalo,Buffalo,NY,29850
University of Iowa,Iowa City,IA,29748
University of California-San Diego,La Jolla,CA,29517
West Virginia University,Morgantown,WV,29466
University of North Carolina at Chapel Hill,Chapel Hill,NC,29127
Kent State University at Kent,Kent,OH,28998
University of California-Irvine,Irvine,CA,28895
California State University-Sacramento,Sacramento,CA,28811
Ohio University-Main Campus,Athens,OH,28786
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,28649
The University of Texas at San Antonio,San Antonio,TX,28623
University of New Mexico-Main Campus,Albuquerque,NM,28592
University of Massachusetts-Amherst,Amherst,MA,28518
University of Kentucky,Lexington,KY,28435
Southern New Hampshire University,Manchester,NH,28389
Harvard University,Cambridge,MA,28297
Portland State University,Portland,OR,28260
University of Illinois at Chicago,Chicago,IL,28038
Oregon State University,Corvallis,OR,27902
Wayne State University,Detroit,MI,27897
University of Nevada-Las Vegas,Las Vegas,NV,27848
Utah State University,Logan,UT,27812
Brigham Young University-Idaho,Rexburg,ID,27692
Washington State University,Pullman,WA,27642
University of Wisconsin-Milwaukee,Milwaukee,WI,27416
University of Oklahoma-Norman Campus,Norman,OK,27292
University of Kansas,Lawrence,KS,26968
Columbia University in the City of New York,New York,NY,26957
East Carolina University,Greenville,NC,26887
DeVry University-Illinois,Chicago,IL,26851
Central Michigan University,Mount Pleasant,MI,26841
Northern Arizona University,Flagstaff,AZ,26594
Hillsborough Community College,Tampa,FL,26590
University of North Carolina at Charlotte,Charlotte,NC,26571
Drexel University,Philadelphia,PA,26132
Oklahoma State University-Main Campus,Stillwater,OK,26073
University of Connecticut,Storrs,CT,25911
Nova Southeastern University,Fort Lauderdale,FL,25670
University of Arkansas,Fayetteville,AR,25341
George Washington University,Washington,DC,25264
Weber State University,Ogden,UT,25155
University of Akron Main Campus,Akron,OH,24932
Auburn University,Auburn University,AL,24864
Old Dominion University,Norfolk,VA,24828
University of Pennsylvania,Philadelphia,PA,24630
Kennesaw State University,Kennesaw,GA,24629
Kansas State University,Manhattan,KS,24581
Grand Valley State University,Allendale,MI,24477
University of Oregon,Eugene,OR,24473
